course_id,title,training_link,details,duration (minutes)
BA-001,Migration Readiness Assessment,https://explore.skillbuilder.aws/learn/course/10058/aws-partnercast-apn-headstart-migration-assess-enablement-series-2-of-4-business,"MRA tool, the prescriptive guidance for executing the Migration Readiness Assessment, while showcasing an example",30
BA-002,AWS Application Discovery Service and AWS Migration Hub,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/14948/discovering-applications-to-migrate-by-using-aws-application-discovery-services-ads-amazon,"AWS Application Discovery Service, customers can plan migration projects by gathering information about on-premises data centers. The Application Discovery Service agents collect configuration, usage, and behaviour data from servers about the workloads they run",120
BA-003,Migration Evaluator,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/2785/migration-evaluator-overview,Migration Evaluator quickly delivers optimized cost-modeling scenarios for your workloads on Amazon Web Services (AWS),45
BA-004,Migration Portfolio Assessment,https://explore.skillbuilder.aws/learn/course/internal/view/elearning/18796/aws-partnercast-building-business-casestco-using-mpa-tool-technical,"Portfolio assessment is the process of discovery, identification, classification and grouping of IT infrastructure and applications, to estimate the feasibility, effort, cost, tools and resources needed for migration to Amazon Web Services",106
